#Wavelength range: 3800 - 9000   Unit: Angstrom   Type: Air
#Radial velocity: 0 km/s
#Wavelength accuracy upper limit: 5%
#Element/Spectrum: H I, He I-II, O I-IV, C I-IV, Ne I-III, Fe I-III, N I-IV, Si I-IV, Mg I-IV, S I-IV, V I-II, Cr I-II, Ni I-II, Sc I-II, Ti I-II, Ca I-II, Na I-II
#Minimum line strength: -0.5 Type: log(gf)
#Include lines without atomic data: false
#Minimum abundance: no minimum
#Lower level energy range: no restrictions   Unit: cm^-1
#Upper level energy range: no restrictions
#Maximum for principal quantum number n: no restrictions
#Transition types included: E1
#Transitions from auto-ionizing levels: included
wl_air, spc, -lg(gf), tpf, ref
4103.509,	Fe III,	-0.4134,	30,	ASD
4104.7235,	O II,	-0.2785,	15,	ASD
4104.758,	V I,	0.628,		ASD,	ASD
4104.9899,	O II,	-0.0365,	15,	ASD
4105.159,	V I,	-0.1289,	ASD,	ASD
4107.659,	Fe III,	0.0374,	30,	ASD
4109.128,	Fe III,	0.1399,	30,	ASD
4109.776,	V I,	-0.2952,	ASD,	ASD
4110.7863,	O II,	-0.3926,	15,	ASD
4111.17,	Si III,	-0.4355,	3,	ASD
4111.33,	Si III,	-0.3175,	3,	ASD
4111.512,	Si III,	-0.2023,	3,	ASD
4111.774,	V I,	0.4085,	ASD,	ASD
4113.505,	V I,	-0.4619,	ASD,	ASD
4113.834,	O II,	-0.4353,	3,	ASD
4115.176,	V I,	0.0714,	ASD,	ASD
4115.487,	Si III,	-0.0323,	3,	ASD
4116.103,	Si IV,	-0.1103,	7,	ASD
4116.18,	N IV,	0.0964,	3,	ASD
4116.468,	V I,	-0.3115,	ASD,	ASD
4118.374,	Fe III,	0.4997,	30,	ASD
4118.5447,	Fe I,	0.283,	ASD,	061
4118.72,	Fe III,	0.3284,	30,	ASD
4118.866,	Fe III,	0.4843,	30,	ASD
4119.2165,	O II,	0.4471,	15,	ASD
4119.361,	Fe III,	0.1206,	30,	ASD
4119.365,	Fe III,	0.4942,	30,	ASD
4119.46,	Fe III,	0.3444,	30,	ASD
4119.626,	Fe III,	0.4378,	30,	ASD
4119.66,	N IV,	-0.1751,	3,	ASD
4119.844,	Fe III,	0.5366,	30,	ASD
4120.2783,	O II,	-0.0291,	15,	ASD
4120.5468,	O II,	-0.4866,	15,	ASD
4120.903,	Fe III,	0.233,	30,	ASD
4121.342,	Fe III,	0.738,	30,	ASD
4121.4626,	O II,	-0.3638,	15,	ASD
4122.025,	Fe III,	0.4533,	30,	ASD
4122.78,	Fe III,	0.4065,	30,	ASD
4122.995,	Fe III,	-0.1337,	30,	ASD
4123.512,	V I,	-0.2923,	ASD,	ASD
4124.08,	N II,	-0.3887,	3,	030
4126.534,	Fe III,	0.4232,	30,	ASD
4126.992,	Fe III,	-0.3295,	3,	ASD
4128.054,	Si II,	0.3646,	3,	ASD
4128.076,	V I,	-0.1038,	ASD,	ASD
4130.894,	Si II,	0.5192,	3,	ASD
4131.993,	V I,	-0.0731,	ASD,	ASD
4132.8004,	O II,	-0.0671,	15,	ASD
4133.67,	N II,	-0.1679,	3,	030
4134.48,	V I,	-0.2256,	ASD,	ASD
4134.67739,	Fe I,	-0.4906,	ASD,	061
4136.26,	Fe III,	-0.2857,	30,	ASD
4136.4,		N III,	-0.2578,	3,	ASD
4137.13,	Fe III,	0.5855,	30,	ASD
4137.764,	Fe III,	0.6749,	30,	ASD
4139.35,	Fe III,	0.5647,	30,	ASD
4140.482,	Fe III,	0.1461,	30,	ASD
4141.59,	N III,	-0.4671,	3,	ASD
4141.933,	O II,	0.0082,	3,	ASD
4142.07,	O II,	0.1543,	3,	ASD
4142.259,	S II,	0.2535,	3,	ASD
4142.273,	O II,	-0.0218,	3,	ASD
4142.656,	Fe III,	-0.0942,	30,	ASD
4142.91,	Ne III,	-0.0478,	3,	008
4143.32,	O II,	-0.2138,	3,	ASD
4143.41462,	Fe I,	-0.301,	30,	061
4143.523,	O II,	0.2701,	3,	ASD
4143.739,	O II,	0.4182,	3,	ASD
4143.86769,	Fe I,	-0.4587,	ASD,	061
4145.06,	S II,	0.4573,	3,	ASD
